"","X","dint","dsack","fumtot","fumrec","tds","points","fgperc","xpperc","ydsperpass","ydsperrush"
"1","ARI",17,33,32,14,19,215,0.888888888888889,1,5.81818181818182,4.3375
"33","ARI",10,42,23,13,33,288,0.791666666666667,1,7.18909090909091,4.17737789203085
"65","ARI",22,38,25,10,21,226,0.892857142857143,1,5.56414473684211,3.41926345609065
"97","ARI",20,47,22,10,37,349,0.857142857142857,1,7.47560975609756,3.64928909952607
"129","ARI",18,35,16,9,27,276,0.878787878787879,1,7.02464788732394,3.29471032745592
"161","ARI",19,35,24,8,51,443,0.903225806451613,0.913793103448276,8.48134991119005,4.24115044247788
"2","ATL",22,31,12,3,42,380,0.933333333333333,1,6.45580589254766,3.80482897384306
"34","ATL",19,33,12,2,43,384,0.931034482758621,1,7.34848484848485,4.0485651214128
"66","ATL",20,29,9,3,44,407,0.868421052631579,1,7.67317073170732,3.6957671957672
"98","ATL",10,32,16,4,37,333,0.888888888888889,1,6.8907435508346,3.88473520249221
"130","ATL",16,23,16,8,39,361,0.935483870967742,1,7.52848101265823,4.02688172043011
"162","ATL",15,19,26,12,34,313,0.833333333333333,1,7.41062801932367,3.83571428571429
"3","BAL",19,27,21,8,36,333,0.896551724137931,1,7.39103869653768,3.75975359342916
"35","BAL",15,48,24,12,36,338,0.756756756756757,1,6.67095588235294,4.34858387799564
"67","BAL",13,37,14,8,39,366,0.909090909090909,1,7.13571428571429,4.28893905191874
"99","BAL",16,40,15,9,26,296,0.926829268292683,1,6.32310177705977,3.14184397163121
"131","BAL",10,50,14,5,43,387,0.878787878787879,1,7.18198198198198,4.5
"163","BAL",6,38,15,6,27,290,0.825,1,6.73684210526316,3.88414634146341
"4","BUF",11,27,36,9,36,295,0.761904761904762,1,6.4137323943662,4.04340277777778
"36","BUF",21,27,15,9,34,314,0.766666666666667,1,6.67301038062284,4.9810298102981
"68","BUF",12,37,23,6,36,318,0.875,1,6.71232876712329,5.01354401805869
"100","BUF",23,56,32,17,31,317,0.916666666666667,1,6.46168582375479,4.22082585278276
"132","BUF",17,52,21,9,30,313,0.918918918918919,0.96875,6.65975820379965,3.6865671641791
"164","BUF",17,21,28,15,42,355,0.851851851851852,0.85,7.74193548387097,4.73040152963671
"5","CAR",17,30,31,15,16,188,0.862068965517241,1,5.44421487603306,4.31308411214953
"37","CAR",14,31.5,13,5,47,392,0.846153846153846,1,7.87861271676301,5.43018018018018
"69","CAR",11,38,21,10,40,331,0.761904761904762,0.977272727272727,8.01428571428571,4.52711496746204
"101","CAR",21,59,11,4,38,342,0.923076923076923,1,7.14376321353066,4.18672199170125
"133","CAR",14,40,25,14,33,319,0.852941176470588,1,7.02385321100917,4.28
"165","CAR",24,41,12,3,54,470,0.9375,0.96551724137931,7.71513944223108,4.33840304182509
"6","CHI",21,37,19,8,33,308,0.833333333333333,1,7.28969957081545,3.89397590361446
"38","CHI",21,33,26,13,28,289,0.875,1,7.07399577167019,4.42105263157895
